"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1463.16/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0xf24ffeda2cc569fa59ee4141f20cdf4b60c14be6b6c2c90dc0596bc2c85de8bd","63257905","1673285252","2023-01-09 17:27:32","0x15fecfa8fa295ad7383d84d172dbe51792fa95bb","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000406547040220864","0.594843367369559","1320.11","","","Mint To Multiple AL",""
"0x445165ded3989e722130cb6b2edf6551cface63b3cb86d96ca6259928de86e19","63264598","1673286587","2023-01-09 17:49:47","0x59455ba3d00bb8cbead8fe6db3973210e49d4303","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000357456245964468","0.523015680845371","1320.11","","","Mint To Multiple AL",""
"0x5c934cc5c9927cd8ff49b925bfcbded497c21896fe435f16765c3ce6a8e80c83","63274015","1673288418","2023-01-09 18:20:18","0x357990585a6bb953dcba126de48585ed27e22319","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000369773177478808","0.541037322359893","1320.11","","","Mint To Multiple AL",""
"0xaadcb0e38d1fcc03dfe371a88ca786524e128d5c30924434a267b7437d80f121","63274442","1673288524","2023-01-09 18:22:04","0x062a07cbf4848fda67292a96a5e02c97e402233f","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000369172469156288","0.540158389970714","1320.11","","","Mint To Multiple AL",""
"0xde952f7631de1287eebdfa97f95d60b183d04507f56823004d208f584f4796fd","63287843","1673290926","2023-01-09 19:02:06","0xa4a45767a697384f685a916e17b1e35e37314540","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.0003284486987478","0.480572998059831","1320.11","","","Mint To Multiple AL",""
"0x7f08e4b7da3351d2cafc79a717b43b9b2e81d9edbb3d23d0eaac86f2a6a986a8","63288513","1673291046","2023-01-09 19:04:06","0x119a849400dd8b61c8ab8995cb37af32dbbd2d8b","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000334638942947424","0.489630315762953","1320.11","","","Mint To Multiple AL",""
"0x49d92af6e26214a5ef169d84d829f3e1b7049f32b42cc002385852428cba4f13","63288563","1673291061","2023-01-09 19:04:21","0xd9b325e4040abdae9ae4bdc31babf9698429aa53","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000334965964341312","0.490108800385634","1320.11","","","Mint To Multiple AL",""
"0x1befe516f95be1f086d2f12549c1fc6fd2c517a3db3f37736913dfa9b1da0668","63289120","1673291152","2023-01-09 19:05:52","0xf801fb29be747b45b04a19ece9c6b74019d7159e","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000334638942947424","0.489630315762953","1320.11","","","Mint To Multiple AL",""
"0x59fc16fa98e73b7829426064b09c4b6422faafb1f0862366d60de2ffb6bea2af","63289522","1673291227","2023-01-09 19:07:07","0x9ec6f899743ed6c1eadb91fb263c5975252e2340","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000334638932947424","0.489630301131353","1320.11","","","Mint To Multiple AL",""
"0x1f2e0aaed9a77268bf7602e22cb7ae77206af414b0ea88f3e8535a0ef32d6c16","63290395","1673291392","2023-01-09 19:09:52","0xf9e1d1e9f22c96752356adfd377231528c7e851e","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00033583797939168","0.491384697926731","1320.11","","","Mint To Multiple AL",""
"0x46e42b580f6f88a7ca78df891f47ff4fd5f10797fbbc7ff3fdbf879db55c5295","63291425","1673291617","2023-01-09 19:13:37","0x61f4f2e7f9f1ea9a5d8e47b6307f7c1bd2e942f7","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00037243346842352","0.544929753658558","1320.11","","","Mint To Multiple AL",""
"0x9ebda930478a1d4b2cfdcff1037137869b2d2145490d8582524f3186d5c27793","63294099","1673292172","2023-01-09 19:22:52","0x062168300176aa3947d2feebccee188ef35abeb5","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00030023546341264","0.439292520646838","1320.11","","","Mint To Multiple AL",""
"0x9d863d16f0880a8666a516d1e6b61d2183cceb700c6ecfe954b5950c0f3728fc","63298033","1673293028","2023-01-09 19:37:08","0x841ad0abab2d33520ca236a2f5d8b038addc12ba","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.0004541139442414","0.664441358656247","1320.11","","","Mint To Multiple AL",""
"0xec59ce44707034dd2060d2ef9c334ee00c590158f3a472276e4f147078443c6d","63298310","1673293103","2023-01-09 19:38:23","0x6198a21292308ce287eb9e36e273c1773c5ca888","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00054217740831808","0.793292296754682","1320.11","","","Mint To Multiple AL",""
"0x99b76ca7697ef47d850276e788010d37bdefc626b115b64075cb702f44f0300b","63301924","1673294006","2023-01-09 19:53:26","0x3b6cce32ba37fa5689fab313371dcf044ecef536","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000341154990652752","0.499164336123481","1320.11","","","Mint To Multiple AL",""
"0x5c9e8ddc045ed27c40c33d7fbbf63020071de1e495777ae31ce8d738463f9488","63310427","1673295645","2023-01-09 20:20:45","0x736eb9ea6e34cf165b79507fe6cb1dc04ddb5f42","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000375867251580272","0.549953927822191","1320.11","","","Mint To Multiple AL",""
